video_label,Label,Avg,Stats,Serial
LS_WILTY_EP4_truth2,truth,75.8,"mean=75.8, std=7.3, max=93, min=69, range=24",[93 91 86 79 74 72 70 70 69 70 72 74 75 73 72 72]
LS_WILTY_EP4_truth3,truth,81.8,"mean=81.8, std=6.7, max=93, min=72, range=21","[88 91 93 92 90 88 85 81 80 84 89 91 88 82 76 73 72 72 73 75 79 84 87 84
 78 74 72 72 73 75 79 85 89 87 83 80]"
LS_WILTY_EP4_truth4,truth,80.4,"mean=80.4, std=7.3, max=92, min=70, range=22",[77 76 76 75 74 75 79 86 91 92 92 90 84 77 72 70]
LS_WILTY_EP4_truth6,truth,75.3,"mean=75.3, std=4.4, max=88, min=70, range=18",[77 76 75 73 73 74 75 76 76 76 74 72 70 70 71 72 74 79 85 88]
LS_WILTY_EP4_truth8,truth,77.1,"mean=77.1, std=7.0, max=88, min=65, range=23","[78 80 83 87 88 85 79 75 74 73 71 68 66 65 65 66 67 70 73 77 82 84 82 78
 78 82 87 88 84 79 77 77]"
LS_WILTY_EP5_lie2,lie,82.2,"mean=82.2, std=4.8, max=90, min=77, range=13",[79 78 79 79 79 81 83 83 82 78 77 77 78 77 77 79 83 87 89 90 90 90 89 89]
LS_WILTY_EP5_lie3,lie,85.9,"mean=85.9, std=6.5, max=99, min=71, range=28","[71 76 81 84 84 84 83 82 81 79 79 85 94 99 98 93 89 88 87 85 83 84 89 94
 96 94 91 89 86 83 79 78]"
LS_WILTY_EP5_lie6,lie,88.2,"mean=88.2, std=8.6, max=108, min=77, range=31","[ 86  83  81  84  90  96 102 105 104  99  94  88  82  79  80  83  85  85
  83  79  77  78  80  83  84  85  86  87  89  94 102 108]"
LS_WILTY_EP5_truth1,truth,79.1,"mean=79.1, std=7.3, max=94, min=71, range=23","[73 72 71 73 74 75 76 78 83 88 91 89 84 79 75 73 73 73 74 74 74 74 74 74
 74 72 72 75 81 87 90 90 92 94 91 87]"
LS_WILTY_EP5_truth10,truth,76.2,"mean=76.2, std=5.9, max=85, min=68, range=17",[77 79 81 84 85 82 77 73 71 69 68 69]
LS_WILTY_EP5_truth4,truth,82.7,"mean=82.7, std=6.4, max=98, min=75, range=23","[84 88 90 87 82 82 88 95 98 94 85 76 75 79 86 89 87 84 85 87 84 79 76 75
 76 77 78 77 76 76 76 76]"
LS_WILTY_EP5_truth7,truth,77.2,"mean=77.2, std=3.0, max=81, min=72, range=9",[80 79 78 76 74 72 72 76 80 81 80 78]
LS_WILTY_EP5_truth8,truth,74.5,"mean=74.5, std=5.3, max=85, min=68, range=17",[74 72 70 69 69 70 71 70 69 68 70 76 83 85 83 80 79 78 77 77]
LS_WILTY_EP5_truth9,truth,81.9,"mean=81.9, std=7.6, max=95, min=72, range=23","[76 75 73 72 74 76 77 76 75 74 74 73 73 75 79 86 91 91 91 91 91 87 80 74
 74 79 87 91 91 91 93 95 92 86 83 81]"
LS_WILTY_EP6_lie1,lie,85.2,"mean=85.2, std=6.1, max=98, min=73, range=25",[98 94 85 76 73 77 81 84 85 86 87 89 90 90 90 90 87 83 80 80]
LS_WILTY_EP6_lie2,lie,84.6,"mean=84.6, std=7.4, max=92, min=70, range=22",[83 79 73 70 70 74 79 85 89 91 90 89 88 88 89 90 91 91 92 91]
LS_WILTY_EP6_lie4,lie,85.9,"mean=85.9, std=6.6, max=96, min=77, range=19",[96 95 92 85 79 78 78 77 77 80 85 88 90 91 91 92]
LS_WILTY_EP6_lie6,lie,86.2,"mean=86.2, std=6.4, max=99, min=73, range=26","[73 77 82 84 84 82 79 78 80 83 84 82 80 82 88 94 94 90 86 82 81 84 90 96
 99 98 95 93 91 90 89 89]"
LS_WILTY_EP6_truth2,truth,77.8,"mean=77.8, std=4.5, max=87, min=71, range=16","[78 78 77 78 81 85 87 83 77 75 78 84 86 82 75 71 71 73 78 84 86 81 75 72
 73 74 74 73 72 74 76 77 78 78 78 78]"
LS_WILTY_EP6_truth4,truth,75.8,"mean=75.8, std=5.9, max=88, min=66, range=22",[76 74 71 70 72 74 75 76 79 85 88 85 79 74 69 66]
LS_WILTY_EP6_truth5,truth,74.1,"mean=74.1, std=6.9, max=89, min=64, range=25",[76 75 74 73 73 72 71 70 68 66 65 64 64 66 71 78 86 89 87 82 79 77 77 76]
LS_WILTY_EP6_truth7,truth,76.4,"mean=76.4, std=4.8, max=85, min=69, range=16",[81 80 79 78 77 75 73 71 69 72 79 85 84 78 73 69]
LS_WILTY_EP6_truth8,truth,79.2,"mean=79.2, std=9.4, max=103, min=70, range=33",[103  93  81  74  71  70  70  74  77  79  80  79]
LS_WILTY_EP72_lie10,lie,90.0,"mean=90.0, std=4.8, max=100, min=85, range=15","[ 95  98 100  99  96  93  90  86  85  86  87  87  86  86  85  85  85  85
  87  91  94  93  91  89]"
LS_WILTY_EP72_lie13,lie,87.8,"mean=87.8, std=7.1, max=102, min=78, range=24","[ 91  90  88  84  80  78  79  81  83  83  83  83  83  84  84  83  81  79
  81  86  93  99 101  96  91  91  97 102 101  96  91  89]"
LS_WILTY_EP72_lie2,lie,93.8,"mean=93.8, std=4.7, max=99, min=87, range=12",[89 89 87 87 90 96 99 99 97 97 98 98]
LS_WILTY_EP72_lie4,lie,91.6,"mean=91.6, std=5.0, max=99, min=83, range=16",[91 91 92 94 97 98 95 90 87 85 87 92 96 98 99 97 91 84 83 85]
LS_WILTY_EP72_lie5,lie,88.7,"mean=88.7, std=5.6, max=98, min=74, range=24","[92 92 92 91 91 91 93 95 96 93 89 87 87 90 95 98 97 95 90 83 77 76 82 88
 91 89 88 87 87 88 88 88 88 85 79 74]"
LS_WILTY_EP72_lie6,lie,89.9,"mean=89.9, std=5.0, max=102, min=83, range=19","[ 98 100 102 101  96  89  84  83  85  86  87  87  87  87  87  87  87  88
  89  90  88  85  85  87  89  90  91  93  96  98  95  91  88  87  87  88]"
LS_WILTY_EP72_lie7,lie,89.7,"mean=89.7, std=4.6, max=99, min=83, range=16",[92 93 95 95 91 87 86 88 90 90 88 87 86 86 84 83 83 84 87 91 96 99 97 94]
LS_WILTY_EP72_lie9,lie,85.0,"mean=85.0, std=6.2, max=95, min=73, range=22",[91 91 90 90 89 89 88 87 84 79 74 73 74 78 82 85 89 93 95 92 84 80 81 83]
LS_WILTY_EP72_true1,truth,77.2,"mean=77.2, std=2.3, max=82, min=75, range=7",[77 76 75 76 79 82 81 78 75 75 76 76]
LS_WILTY_EP72_true2,truth,78.6,"mean=78.6, std=6.1, max=90, min=69, range=21",[77 77 77 77 77 78 80 84 86 86 88 90 86 80 75 74 72 71 69 69]
LS_WILTY_EP72_true3,truth,81.6,"mean=81.6, std=8.5, max=95, min=71, range=24","[73 78 83 83 78 74 71 71 71 71 72 72 73 75 77 82 88 91 90 89 90 93 94 95
 95 91 85 81]"
LS_WILTY_EP72_true4,truth,76.4,"mean=76.4, std=5.0, max=86, min=68, range=18","[79 79 79 78 77 75 74 78 83 86 84 79 74 70 68 69 70 72 72 72 72 72 73 75
 79 83 84 83]"
LS_WILTY_EP72_true7,truth,78.4,"mean=78.4, std=8.9, max=105, min=70, range=35","[ 80  79  77  74  72  71  71  71  70  70  70  71  71  72  75  81  86  86
  83  80  82  87  97 105]"
LS_WILTY_EP72_true8,truth,76.1,"mean=76.1, std=5.3, max=88, min=71, range=17",[71 71 71 73 75 79 85 88 84 79 76 75 75 73 72 71]
LS_WILTY_EP72_true9,truth,76.9,"mean=76.9, std=6.7, max=88, min=69, range=19",[70 69 69 70 72 77 83 88 87 82 79 77]
LS_WILTY_EP73_ lie1,lie,89.8,"mean=89.8, std=8.4, max=103, min=69, range=34","[ 90  91  91  91  91  92  95 100 102  99  94  90  89  89  92  97 103 103
  97  91  89  92  96  97  91  80  71  69  71  75  80  84  86  88  88  89]"
LS_WILTY_EP73_ lie2,lie,85.8,"mean=85.8, std=9.3, max=110, min=70, range=40","[ 89  88  86  83  79  73  70  71  75  80  83  84  84  82  79  77  80  85
  88  90  90  91  92  93  95  99 105 110]"
LS_WILTY_EP73_ lie3,lie,93.2,"mean=93.2, std=7.4, max=110, min=84, range=26","[ 91  91  90  90  88  86  88  96 106 110 109 102  95  92  92  96  97  95
  90  86  84  86  89  92  90  87  85  85  88  93 102 110]"
LS_WILTY_EP73_ lie4,lie,83.8,"mean=83.8, std=5.3, max=91, min=72, range=19",[90 89 88 87 87 88 90 91 89 85 82 80 79 81 82 82 80 78 75 72]
LS_WILTY_EP73_ lie5,lie,85.3,"mean=85.3, std=4.2, max=92, min=76, range=16",[92 91 90 89 87 87 86 86 85 83 83 83 86 89 88 82 78 78 82 88 90 87 81 76]
LS_WILTY_EP73_ lie6,lie,86.8,"mean=86.8, std=6.3, max=98, min=79, range=19",[94 97 98 93 84 79 79 80 80 80 82 86 89 89 89 89]
LS_WILTY_EP73_ lie7,lie,86.3,"mean=86.3, std=8.2, max=111, min=74, range=37","[111 105  97  93  90  89  88  87  87  90  93  93  90  87  86  84  81  78
  75  74  74  75  77  81  84  87  88  89  87  84  80  79]"
LS_WILTY_EP73_ lie8,lie,93.1,"mean=93.1, std=6.2, max=104, min=80, range=24","[ 97  97  95  93  91  91  91  93  96 100 102 103 104 103  99  95  95  98
  98  94  87  82  80  82  89  94  94  89  86  86  87  88]"
LS_WILTY_EP73_ true1,truth,72.5,"mean=72.5, std=5.6, max=84, min=60, range=24","[79 78 77 77 77 77 77 77 76 73 69 65 64 67 72 77 82 84 82 77 74 71 70 69
 69 69 68 68 69 72 73 73 70 66 62 60]"
LS_WILTY_EP73_ true12,truth,77.9,"mean=77.9, std=9.9, max=102, min=68, range=34","[ 77  77  75  72  70  70  71  72  73  73  73  72  72  72  73  74  77  83
  91  99 102 100  95  90  87  82  75  71  69  69  68  68]"
LS_WILTY_EP73_ true13,truth,73.4,"mean=73.4, std=6.4, max=89, min=62, range=27","[77 77 77 78 81 86 89 86 79 73 69 69 69 69 69 70 72 73 73 73 73 73 74 75
 76 75 73 69 64 63 62 62]"
LS_WILTY_EP73_ true14,truth,78.6,"mean=78.6, std=5.3, max=86, min=68, range=18",[68 72 76 80 84 85 81 76 72 73 76 82 86 85 82 80]
LS_WILTY_EP73_ true17,truth,74.2,"mean=74.2, std=7.4, max=91, min=67, range=24",[77 76 73 70 68 67 68 69 68 68 69 70 70 70 73 77 82 87 90 91]
LS_WILTY_EP73_ true2,truth,77.1,"mean=77.1, std=4.7, max=86, min=70, range=16",[74 72 71 73 75 77 79 82 85 86 84 80 77 77 79 83 83 78 73 70 71 73 74 75]
LS_WILTY_EP73_ true4,truth,71.7,"mean=71.7, std=3.2, max=75, min=64, range=11",[64 68 73 75 75 72 70 70 71 73 74 75]
LS_WILTY_EP73_ true8,truth,74.2,"mean=74.2, std=5.1, max=82, min=65, range=17",[79 79 80 81 82 81 78 75 74 73 72 72 71 68 66 65 66 67 70 74 76 77 77 77]
LS_WILTY_EP75_lie10,lie,84.8,"mean=84.8, std=7.6, max=98, min=70, range=28",[81 81 83 86 88 89 92 96 98 95 90 87 84 81 75 70 71 77 84 88]
LS_WILTY_EP75_lie5,lie,88.2,"mean=88.2, std=6.3, max=100, min=73, range=27","[ 91  91  90  88  86  83  84  86  88  87  85  82  78  74  73  77  85  91
  92  91  93  97 100  98  94  91  91  91  92  92  92  91]"
LS_WILTY_EP75_lie8,lie,90.1,"mean=90.1, std=8.2, max=107, min=76, range=31","[107 102  96  92  89  86  82  79  79  81  81  78  76  80  87  96 100  98
  94  91  90  90  90  90  92  95  99 103]"
LS_WILTY_EP75_lie9,lie,89.4,"mean=89.4, std=7.0, max=99, min=78, range=21",[99 98 95 90 87 84 81 78 78 81 87 93 97 96 94 92]
LS_WILTY_EP75_true1,truth,77.8,"mean=77.8, std=6.2, max=88, min=67, range=21",[79 81 86 88 85 79 76 75 75 73 70 67]
LS_WILTY_EP76_true1,truth,75.9,"mean=75.9, std=2.9, max=81, min=71, range=10","[81 80 79 78 76 74 72 71 71 73 75 77 79 79 76 73 73 77 80 81 77 74 73 74
 75 76 76 76]"
LS_WILTY_EP76_true11,truth,77.0,"mean=77.0, std=7.4, max=94, min=67, range=27","[94 88 82 78 77 76 76 78 80 80 77 73 71 70 68 67 67 68 68 68 70 73 74 76
 77 77 78 79 83 88 91 92]"
LS_WILTY_EP76_true12,truth,76.0,"mean=76.0, std=6.5, max=90, min=67, range=23","[68 69 72 75 78 81 84 88 90 87 81 77 75 73 72 71 70 69 71 78 83 83 80 76
 73 70 68 67]"
LS_WILTY_EP76_true13,truth,74.6,"mean=74.6, std=9.5, max=106, min=67, range=39","[106  97  87  80  77  76  74  72  69  67  68  70  70  70  68  67  67  67
  68  71  74  75  76  75]"
LS_WILTY_EP76_true2,truth,75.2,"mean=75.2, std=8.5, max=93, min=63, range=30",[81 82 86 91 93 90 83 78 75 73 70 68 68 69 70 69 66 63 64 67 71 74 76 77]
LS_WILTY_EP76_true4,truth,78.1,"mean=78.1, std=5.6, max=94, min=72, range=22",[94 88 81 77 75 74 73 75 80 85 84 80 77 76 76 75 73 72 73 74]
LS_WILTY_EP76_true5,truth,76.9,"mean=76.9, std=7.6, max=88, min=66, range=22",[66 66 67 69 72 76 82 86 88 88 88 85 82 80 79 78 76 73 69 68]
LS_WILTY_EP76_true7,truth,78.4,"mean=78.4, std=6.5, max=91, min=70, range=21",[76 79 84 89 91 89 83 76 71 70 71 73 75 76 76 76]
LS_WILTY_EP76_true8,truth,77.9,"mean=77.9, std=3.6, max=84, min=72, range=12",[77 76 74 72 74 80 84 84 80 78 78 78]
LS_WILTY_EP76_true9,truth,75.1,"mean=75.1, std=4.5, max=86, min=69, range=17","[76 73 71 70 70 70 71 73 74 73 71 70 72 78 82 81 77 75 78 83 86 83 78 74
 72 70 69 72 75 77 79 79]"
LS_WILTY_EP7_lie1,lie,85.2,"mean=85.2, std=7.3, max=98, min=78, range=20",[96 98 98 95 90 86 84 82 81 79 78 79 80 80 79 79]
LS_WILTY_EP7_lie10,lie,88.5,"mean=88.5, std=7.2, max=107, min=79, range=28","[ 92  92  93  93  92  90  86  85  86  87  86  85  84  83  83  82  81  79
  79  83  91  99 105 107]"
LS_WILTY_EP7_lie11,lie,89.4,"mean=89.4, std=9.3, max=107, min=76, range=31",[ 97  96  94  90  87  85  84  82  80  77  76  81  90  99 105 107]
LS_WILTY_EP7_lie13,lie,87.5,"mean=87.5, std=6.1, max=101, min=78, range=23","[ 78  78  80  83  85  85  84  83  83  84  84  85  87  91  98 101  99  94
  90  89  88  87  90  94]"
LS_WILTY_EP7_lie2,lie,90.8,"mean=90.8, std=5.1, max=101, min=83, range=18","[ 91  91  91  95  99 101  97  93  93  98 101 100  94  88  85  84  83  84
  86  88  88  86  85  86  87  88  90  91  92  91  89  89]"
LS_WILTY_EP7_lie3,lie,86.5,"mean=86.5, std=6.8, max=95, min=73, range=22",[91 90 90 90 90 91 93 95 94 87 79 73 74 78 83 86]
LS_WILTY_EP7_lie6,lie,84.9,"mean=84.9, std=7.8, max=93, min=65, range=28","[90 90 90 90 89 88 86 84 80 73 67 65 67 71 77 84 90 93 91 88 87 88 91 93
 92 87 85 86 88 89 89 89]"
LS_WILTY_EP7_lie7,lie,90.4,"mean=90.4, std=7.0, max=103, min=79, range=24",[ 89  90  93  97  99  97  91  85  81  79  80  84  88  92  98 103]
LS_WILTY_EP7_lie8,lie,87.2,"mean=87.2, std=7.6, max=105, min=76, range=29","[ 89  89  89  89  90  92  94  95  91  85  79  76  77  78  79  79  82  89
  98 105]"
LS_WILTY_EP7_lie9,lie,81.5,"mean=81.5, std=5.0, max=89, min=70, range=19","[77 77 79 81 83 82 79 75 70 70 75 81 85 86 87 87 88 89 88 86 82 81 83 85
 85 83 81 83 85 83 78 73]"
LS_WILTY_EP7_truth3,truth,76.4,"mean=76.4, std=6.8, max=93, min=66, range=27","[76 77 80 84 90 93 90 85 80 78 76 76 76 76 77 78 76 71 66 67 69 71 71 71
 70 69 71 74]"
LS_WILTY_EP7_truth7,truth,78.6,"mean=78.6, std=5.8, max=90, min=72, range=18","[73 73 74 78 80 79 76 73 72 72 73 75 80 86 89 87 84 84 88 90 87 80 75 72
 73 75 76 77]"
LS_WILTY_EP7_truth8,truth,78.8,"mean=78.8, std=6.4, max=92, min=69, range=23","[77 77 77 77 77 77 78 79 83 89 92 88 81 78 80 85 89 89 88 85 79 75 73 73
 71 69 69 69 71 73 76 78]"
LS_WILTY_EP7_truth9,truth,77.1,"mean=77.1, std=9.4, max=101, min=63, range=38","[ 76  76  76  76  75  75  80  88  97 101  99  91  81  74  71  71  73  73
  73  72  72  72  72  73  72  70  66  63]"
LS_WILTY_EP9_lie1,lie,89.2,"mean=89.2, std=6.9, max=99, min=74, range=25",[92 94 98 99 95 90 87 87 88 86 80 74]
LS_WILTY_EP9_lie10,lie,90.9,"mean=90.9, std=8.2, max=105, min=71, range=34","[ 71  77  83  86  86  85  85  86  89  94  99 103 105 104 104 103  98  91
  84  81  83  87  88  88  88  90  93  98  99  97  93  90]"
LS_WILTY_EP9_lie11,lie,89.9,"mean=89.9, std=8.5, max=110, min=76, range=34",[110 102  94  89  87  87  88  89  89  87  81  76]
LS_WILTY_EP9_lie12,lie,84.6,"mean=84.6, std=4.9, max=91, min=75, range=16",[91 91 90 90 89 88 87 86 83 80 76 75 77 82 87 89 85 81 81 83]
LS_WILTY_EP9_lie13,lie,87.7,"mean=87.7, std=7.1, max=107, min=79, range=28","[ 85  85  85  85  85  85  85  84  83  82  79  79  80  82  82  81  81  85
  88  86  83  85  91  97 100  99  95  92  92  95 102 107]"
LS_WILTY_EP9_lie14,lie,82.8,"mean=82.8, std=6.2, max=92, min=75, range=17",[92 92 90 88 84 80 76 75 75 77 81 84]
LS_WILTY_EP9_lie15,lie,89.2,"mean=89.2, std=1.9, max=94, min=86, range=8","[89 89 90 91 90 88 88 90 89 86 86 90 94 93 90 88 87 86 87 87 89 90 90 90
 91 91 90 90]"
LS_WILTY_EP9_lie16,lie,90.6,"mean=90.6, std=2.8, max=94, min=84, range=10",[91 91 92 92 89 85 84 87 92 94 94 93 92 92 91 90]
LS_WILTY_EP9_lie17,lie,88.7,"mean=88.7, std=9.6, max=111, min=78, range=33",[111 103  94  86  81  78  79  81  84  87  89  91]
LS_WILTY_EP9_lie4,lie,88.6,"mean=88.6, std=7.0, max=106, min=76, range=30","[ 88  89  90  90  88  84  83  85  89  91  91  90  90  91  94 100 106 105
  97  86  79  76  81  90  95  93  87  81  78  80  83  85]"
LS_WILTY_EP9_lie5,lie,83.8,"mean=83.8, std=8.4, max=112, min=73, range=39","[112 102  90  81  76  74  74  73  73  74  75  78  82  83  81  78  77  80
  85  88  88  86  82  81  83  87  89  90  90  90  90  90]"
LS_WILTY_EP9_lie6,lie,97.0,"mean=97.0, std=7.2, max=109, min=86, range=23",[100 102 103 101  99 103 109 108 100  91  87  86  88  90  92  93]
LS_WILTY_EP9_lie8,lie,89.6,"mean=89.6, std=4.5, max=100, min=81, range=19","[100  96  89  83  81  83  84  85  86  88  92  93  90  85  86  91  97  97
  93  90  90  91  92  92  90  89  88  88]"
LS_WILTY_EP9_lie9,lie,88.8,"mean=88.8, std=7.4, max=103, min=74, range=29","[ 91  91  91  91  92  94  92  86  79  74  74  77  81  83  84  84  85  87
  89  93  98 102 103  99  94  91  90  90]"
LS_WILTY_EP9_truth1,truth,72.9,"mean=72.9, std=4.3, max=85, min=64, range=21","[64 64 66 71 74 75 72 71 70 71 72 73 75 76 75 74 72 71 71 72 73 72 72 72
 71 72 73 77 82 85 82 78 75 73 70 68]"
LS_WILTY_EP9_truth2,truth,76.5,"mean=76.5, std=6.4, max=88, min=68, range=20","[74 71 69 69 69 69 68 68 69 70 73 77 83 87 87 87 88 87 82 80 79 78 78 79
 78 78 78 78 78 76 72 68]"
LS_WILTY_EP9_truth3,truth,79.8,"mean=79.8, std=5.2, max=87, min=72, range=15",[85 87 87 83 79 77 75 74 73 72 73 77 81 85 85 83]
LS_WILTY_EP9_truth4,truth,74.6,"mean=74.6, std=4.4, max=85, min=69, range=16",[71 69 69 69 71 74 76 76 75 74 73 72 73 74 78 83 85 82 76 73]
LS_WILTY_EP9_truth5,truth,80.8,"mean=80.8, std=10.7, max=105, min=68, range=37","[105  94  81  72  68  68  69  71  72  73  73  74  74  75  76  77  79  83
  88  90  90  90  96 102]"
LS_WILTY_EP9_truth6,truth,74.9,"mean=74.9, std=5.4, max=83, min=66, range=17",[78 78 78 78 79 80 83 82 76 69 66 66 68 70 73 74]
LS_WILTY_EP9_truth9,truth,82.4,"mean=82.4, std=9.9, max=112, min=70, range=42","[ 74  76  81  86  88  86  83  84  88  90  88  83  80  84  94 107 112 106
  92  80  74  73  74  77  80  80  76  71  70  72  74  75  76  77  77  78]"
SB_WILTY_EP29_lie10,lie,84.5,"mean=84.5, std=7.2, max=94, min=73, range=21",[90 91 91 90 89 89 89 92 94 94 89 81 76 77 78 78 77 77 75 73]
SB_WILTY_EP29_lie2,lie,90.2,"mean=90.2, std=7.7, max=110, min=77, range=33","[102 102 100  96  94  91  87  85  86  87  88  87  87  87  88  87  86  83
  79  77  78  82  84  86  88  90  94  96  96  98 104 110]"
SB_WILTY_EP29_lie3,lie,84.8,"mean=84.8, std=7.8, max=107, min=70, range=37","[ 90  90  91  91  92  93  95  94  90  81  73  70  72  76  80  85  86  85
  82  79  80  83  84  84  84  84  83  81  77  75  77  81  86  92 100 107]"
SB_WILTY_EP29_lie4,lie,95.5,"mean=95.5, std=5.5, max=106, min=90, range=16",[106 105 101  95  91  91  95  97  94  91  90  90]
SB_WILTY_EP29_lie5,lie,90.3,"mean=90.3, std=7.8, max=106, min=78, range=28","[ 85  82  81  83  89  95  97  95  89  85  83  82  82  83  83  84  84  86
  88  92  97 100  99  96  96  99 103 106 104  97  86  78]"
SB_WILTY_EP29_lie6,lie,86.4,"mean=86.4, std=7.8, max=102, min=78, range=24",[ 88  86  82  79  80  82  82  79  78  80  84  89  93  98 101 102]
SB_WILTY_EP29_lie7,lie,88.6,"mean=88.6, std=5.7, max=101, min=78, range=23","[ 89  90  90  88  86  85  85  88  94 100 101  93  83  78  79  83  86  85
  82  82  86  92  96  96  93  91  90  89]"
SB_WILTY_EP29_lie8,lie,87.4,"mean=87.4, std=5.0, max=95, min=74, range=21","[90 90 90 91 91 92 93 95 94 90 89 91 92 90 87 85 85 87 90 91 88 83 80 81
 85 87 87 85 79 74 75 80 86 90 91 91]"
SB_WILTY_EP29_lie9,lie,86.2,"mean=86.2, std=6.1, max=100, min=78, range=22",[ 93  92  91  89  87  86  85  84  81  79  78  78  80  84  92 100]
SB_WILTY_EP29_truth1,truth,81.3,"mean=81.3, std=8.2, max=105, min=73, range=32","[ 76  76  76  76  75  73  73  77  86  98 105 100  88  78  74  75  76  77
  77  79  82  87  89  86  82  79  78  78]"
SB_WILTY_EP29_truth2,truth,76.7,"mean=76.7, std=8.3, max=98, min=69, range=29","[78 78 77 74 71 69 69 70 70 71 72 72 70 69 72 80 90 98 97 88 79 72 69 69
 70 72 73 73 74 74 74 77 81 87 91 92]"
SB_WILTY_EP29_truth3,truth,80.7,"mean=80.7, std=6.7, max=94, min=71, range=23","[87 87 84 81 79 78 77 78 81 84 84 80 78 81 88 93 94 94 93 88 80 76 74 74
 73 72 71 72 74 75 76 76]"
SB_WILTY_EP29_truth4,truth,74.0,"mean=74.0, std=8.3, max=105, min=65, range=40","[105  96  85  78  76  74  74  73  72  70  69  68  69  71  73  74  74  73
  70  69  70  73  73  72  70  68  67  65]"
SB_WILTY_EP29_truth5,truth,77.0,"mean=77.0, std=4.2, max=88, min=72, range=16","[78 78 79 82 87 88 83 76 74 76 80 83 83 78 73 73 78 82 81 78 75 74 74 74
 73 73 74 75 75 75 75 74 73 72 72 73]"
SB_WILTY_EP29_truth6,truth,75.4,"mean=75.4, std=5.7, max=86, min=69, range=17","[78 80 83 85 84 83 85 86 83 77 72 69 69 71 72 74 74 75 74 73 70 69 70 72
 71 70 71 72]"
SB_WILTY_EP29_truth7,truth,80.2,"mean=80.2, std=8.0, max=98, min=71, range=27","[97 91 84 80 79 79 79 78 79 82 90 98 98 90 81 76 74 73 72 72 72 72 73 75
 80 85 86 82 76 72 71 71]"
SB_WILTY_EP31_lie1,lie,84.5,"mean=84.5, std=4.0, max=91, min=78, range=13",[91 90 87 86 88 91 90 86 83 82 82 81 79 78 81 85 86 83 81 80]
SB_WILTY_EP31_lie2,lie,93.2,"mean=93.2, std=5.9, max=108, min=86, range=22",[108 101  93  88  87  86  87  89  93  95  94  91  90  92  97 101]
SB_WILTY_EP31_lie3,lie,91.2,"mean=91.2, std=13.3, max=116, min=77, range=39",[114 116 114 106  97  91  88  86  84  83  83  82  81  79  77  78]
SB_WILTY_EP31_lie4,lie,88.5,"mean=88.5, std=6.9, max=103, min=77, range=26","[ 77  78  80  85  90  95  97  95  91  88  88  90  93  95  93  89  87  85
  84  80  79  80  83  86  87  89  90  92  95  99 103 102  96  86  80  78]"
SB_WILTY_EP31_lie5,lie,90.9,"mean=90.9, std=8.1, max=105, min=67, range=38","[ 94  96  97  96  92  90  89  89  89  89  89  88  88  92  97 100  97  91
  88  90  94  97  94  89  88  91  99 105 105  99  92  86  80  74  70  67]"
SB_WILTY_EP31_lie6,lie,90.6,"mean=90.6, std=9.1, max=112, min=71, range=41","[ 74  80  86  89  90  90  91  95 102 110 112 108 102  95  90  86  84  85
  88  93  97  95  91  88  88  89  90  90  88  84  77  71]"
SB_WILTY_EP31_lie7,lie,83.6,"mean=83.6, std=5.0, max=94, min=75, range=19","[75 80 86 89 90 89 87 85 81 80 81 83 83 81 78 77 77 78 80 83 85 86 86 85
 85 83 80 78 78 79 82 88 93 94 93 93]"
SB_WILTY_EP31_truth1,truth,76.2,"mean=76.2, std=5.8, max=90, min=71, range=19",[90 89 86 80 74 71 71 72 73 73 72 72 75 78 80 76 72 71 74 75]
SB_WILTY_EP31_truth2,truth,79.3,"mean=79.3, std=7.2, max=98, min=66, range=32","[98 91 83 77 75 75 78 83 84 78 70 66 67 70 73 76 81 87 91 88 82 78 77 77
 78 78 79 80]"
SB_WILTY_EP31_truth3,truth,74.6,"mean=74.6, std=7.0, max=94, min=67, range=27",[79 77 74 70 67 67 68 70 72 73 73 72 73 78 87 94]
SB_WILTY_EP31_truth4,truth,78.7,"mean=78.7, std=7.8, max=95, min=72, range=23",[95 93 86 79 74 73 72 72 73 75 76 76]
SB_WILTY_EP31_truth5,truth,76.7,"mean=76.7, std=5.9, max=87, min=66, range=21","[79 79 77 76 74 73 71 69 67 66 68 71 76 82 86 85 82 83 86 87 83 79 77 76
 74 73 74 75]"
SB_WILTY_EP31_truth6,truth,74.6,"mean=74.6, std=3.8, max=81, min=66, range=15",[73 74 76 77 76 74 72 73 77 81 81 78 75 72 69 66]
SB_WILTY_EP31_truth7,truth,77.1,"mean=77.1, std=9.2, max=98, min=67, range=31","[96 94 95 98 97 88 78 70 67 67 67 67 68 69 71 71 72 73 74 75 76 77 78 78
 77 75 72 73 74 76 77 77]"
SB_WILTY_EP31_truth8,truth,78.7,"mean=78.7, std=10.1, max=106, min=66, range=40","[ 90  98 106 103  90  78  72  71  71  70  67  66  67  69  71  75  80  83
  82  78  76  75  76  77  78  78  78  78]"
SB_WILTY_EP32_lie10,lie,91.2,"mean=91.2, std=5.8, max=105, min=83, range=22","[ 88  88  87  85  83  83  85  89  90  88  87  89  93  95  94  92  91  91
  91  93  96 101 105 105]"
SB_WILTY_EP32_lie11,lie,83.7,"mean=83.7, std=6.2, max=93, min=71, range=22","[93 92 92 90 86 82 79 80 83 84 84 84 83 84 86 90 92 90 87 85 85 85 83 78
 74 71 71 71]"
